date,open,high,low,close,volume,adj_close
2024-05-20,6.8,6.95,6.72,6.93,267900,6.93
2024-05-21,6.95,7.01,6.905,6.96,175600,6.96
2024-05-22,6.96,6.97,6.85,6.88,354900,6.88
2024-05-23,6.88,6.91,6.66,6.76,316500,6.76
2024-05-24,6.8,6.88,6.735,6.88,175500,6.88
2024-05-28,6.9,7.14,6.89,7.13,548400,7.13
2024-05-29,7.04,7.15,6.77,7.11,401000,7.11
2024-05-30,7.11,7.25,6.93,7.01,449100,7.01
2024-05-31,7.01,7.06,6.71,6.86,206900,6.86
2024-06-03,6.9,7.05,6.63,6.73,311300,6.73
2024-06-04,6.71,6.8,6.35,6.67,361200,6.67
2024-06-05,6.66,7.09,6.57,7.0,911600,7.0
2024-06-06,6.96,7.05,6.86,6.91,140800,6.91
2024-06-07,6.92,7.05,6.745,6.79,241300,6.79
2024-06-10,6.77,7.08,6.76,7.01,307800,7.01
2024-06-11,7.1,7.21,6.885,7.18,479800,7.18
2024-06-12,6.85,7.57,6.771,6.82,794700,6.82
2024-06-13,6.86,7.07,6.46,6.55,551200,6.55
2024-06-14,6.57,6.63,6.34,6.4,343000,6.4
2024-06-17,6.38,6.445,6.21,6.36,381000,6.36
2024-06-18,6.36,6.58,6.31,6.35,297800,6.35
2024-06-20,6.32,6.38,6.1,6.17,345600,6.17
2024-06-21,6.21,6.25,6.07,6.24,345800,6.24
2024-06-24,6.21,6.48,6.21,6.42,531900,6.42
2024-06-25,6.4,6.634,6.23,6.23,423400,6.23
2024-06-26,6.17,6.47,6.13,6.43,346900,6.43
2024-06-27,6.48,6.98,6.47,6.87,572600,6.87
2024-06-28,6.86,7.02,6.68,6.74,4858300,6.74
2024-07-01,6.79,6.85,6.28,6.48,533900,6.48
2024-07-02,6.45,6.89,6.45,6.84,438000,6.84
2024-07-03,6.82,7.6,6.81,7.49,632900,7.49
2024-07-05,7.48,7.75,7.35,7.73,476300,7.73
2024-07-08,7.78,7.84,7.41,7.44,617600,7.44
2024-07-09,7.42,7.466,6.95,6.97,330700,6.97
2024-07-10,7.0,7.14,6.98,7.02,413700,7.02
2024-07-11,7.06,7.28,7.01,7.14,316800,7.14
2024-07-12,7.2,7.5,7.125,7.4,443100,7.4
2024-07-15,7.44,7.85,7.43,7.8,532600,7.8
2024-07-16,7.89,7.99,7.66,7.67,327300,7.67
2024-07-17,7.67,8.1,7.54,8.0,696800,8.0
2024-07-18,7.99,8.27,7.98,8.12,729200,8.12
2024-07-19,8.14,8.37,8.06,8.15,361900,8.15
2024-07-22,8.21,8.26,7.88,7.99,476400,7.99
2024-07-23,8.05,8.05,7.58,7.71,329900,7.71
2024-07-24,7.75,7.78,7.32,7.35,282800,7.35
2024-07-25,7.35,7.58,7.15,7.52,448500,7.52
2024-07-26,7.62,7.74,7.4,7.55,195600,7.55
2024-07-29,7.55,7.67,7.36,7.41,191900,7.41
2024-07-30,7.42,7.43,7.2,7.3,135800,7.3
2024-07-31,7.38,7.69,7.33,7.62,183000,7.62
2024-08-01,7.62,7.8,7.56,7.57,300700,7.57
2024-08-02,7.4,7.45,7.11,7.34,333600,7.34
2024-08-05,6.88,7.06,6.64,6.93,553000,6.93
2024-08-06,6.94,7.2,6.94,7.17,224100,7.17
2024-08-07,7.23,7.275,7.09,7.22,175100,7.22
2024-08-08,7.26,7.63,7.25,7.59,594600,7.59
2024-08-09,7.57,7.63,7.46,7.49,120700,7.49
2024-08-12,7.5,7.5,7.2,7.26,142500,7.26
2024-08-13,7.32,7.77,7.29,7.77,202700,7.77
2024-08-14,8.205,8.52,8.044,8.2,613100,8.2
2024-08-15,8.33,8.44,7.88,7.97,371300,7.97
2024-08-16,8.03,8.19,7.92,8.06,335200,8.06
2024-08-19,8.15,8.37,8.05,8.34,206400,8.34
2024-08-20,8.32,8.37,8.07,8.24,229100,8.24
2024-08-21,8.38,8.48,8.14,8.32,229200,8.32
2024-08-22,8.31,8.39,8.2,8.22,132100,8.22
2024-08-23,8.24,8.5,8.24,8.49,248000,8.49
2024-08-26,8.56,8.69,8.23,8.27,307800,8.27
2024-08-27,8.21,8.32,7.97,8.01,248100,8.01
2024-08-28,8.04,8.23,7.961,7.99,243200,7.99
2024-08-29,7.975,8.1,7.84,7.97,163900,7.97
2024-08-30,8.0,8.03,7.9,8.01,112500,8.01
2024-09-03,7.94,8.26,7.94,8.1,259500,8.1
2024-09-04,8.03,8.055,7.7,7.74,142900,7.74
2024-09-05,7.76,7.885,7.61,7.78,150100,7.78
2024-09-06,7.7,7.725,7.49,7.65,178800,7.65
2024-09-09,7.82,8.42,7.8,8.0,317700,8.0
2024-09-10,8.14,8.14,7.68,7.91,439200,7.91
2024-09-11,7.89,8.13,7.06,7.875,1153300,7.875
2024-09-12,7.92,8.285,7.67,8.09,473000,8.09
2024-09-13,8.18,8.18,7.82,7.96,271900,7.96
2024-09-16,8.0,8.09,7.735,7.85,234500,7.85
2024-09-17,7.87,7.915,7.66,7.68,202800,7.68
2024-09-18,7.71,7.86,7.34,7.6,324300,7.6
2024-09-19,7.76,8.08,7.76,8.02,242900,8.02
2024-09-20,8.0,8.04,7.74,7.75,582200,7.75
2024-09-23,7.78,7.84,7.55,7.57,249700,7.57
2024-09-24,7.59,7.6,7.32,7.41,406000,7.41
2024-09-25,7.39,7.605,7.368,7.58,288800,7.58
2024-09-26,7.66,7.67,7.33,7.33,267300,7.33
2024-09-27,7.35,7.53,7.25,7.375,171300,7.375
2024-09-30,7.37,7.53,7.22,7.3,184300,7.3
2024-10-01,7.3,7.54,7.155,7.52,357400,7.52
2024-10-02,7.52,7.77,7.39,7.55,381000,7.55
2024-10-03,7.6,7.765,7.56,7.74,223500,7.74
2024-10-04,7.85,8.01,7.82,7.99,235100,7.99
2024-10-07,8.05,8.24,7.96,8.19,477400,8.19
2024-10-08,8.24,8.565,8.21,8.38,335100,8.38
2024-10-09,8.39,8.57,8.12,8.13,235500,8.13
2024-10-10,8.07,8.2,7.93,8.02,357600,8.02
2024-10-11,8.01,8.1,7.845,8.07,189700,8.07
2024-10-14,8.09,8.16,7.969,8.115,142800,8.115
2024-10-15,8.13,8.19,8.02,8.13,192500,8.13
2024-10-16,8.13,8.39,8.062,8.22,221300,8.22
2024-10-17,8.25,8.39,8.0,8.03,144800,8.03
2024-10-18,8.07,8.07,7.83,7.94,235400,7.94
2024-10-21,7.97,8.0,7.68,7.71,233600,7.71
2024-10-22,7.73,7.85,7.585,7.67,158300,7.67
2024-10-23,7.65,7.74,7.55,7.6,129000,7.6
2024-10-24,7.61,7.75,7.59,7.63,137200,7.63
2024-10-25,7.66,7.78,7.52,7.58,167800,7.58
2024-10-28,7.64,7.83,7.53,7.71,153500,7.71
2024-10-29,7.71,7.91,7.64,7.895,152700,7.895
2024-10-30,7.91,8.08,7.8,8.04,229000,8.04
2024-10-31,8.0,8.08,7.432,7.45,349700,7.45
2024-11-01,7.35,7.49,6.9,7.165,554100,7.165
2024-11-04,7.15,7.29,6.97,7.11,235200,7.11
2024-11-05,7.08,7.39,7.08,7.36,291700,7.36
2024-11-06,7.66,7.94,7.6,7.79,316400,7.79
2024-11-07,7.81,8.17,7.8,7.84,328100,7.84
2024-11-08,7.875,8.08,7.7,7.87,190000,7.87
2024-11-11,7.95,8.41,7.9,8.38,325800,8.38
2024-11-12,8.3,8.61,8.23,8.39,341600,8.39
2024-11-13,8.49,8.58,8.14,8.2,170300,8.2
2024-11-14,8.23,8.28,7.85,7.89,150500,7.89
2024-11-15,7.95,8.01,7.65,7.73,186300,7.73
2024-11-18,7.76,7.96,7.7,7.77,103200,7.77
2024-11-19,7.71,8.38,7.65,8.34,251900,8.34
2024-11-20,8.34,8.55,8.258,8.44,244100,8.44
2024-11-21,8.49,8.78,8.26,8.67,349100,8.67
2024-11-22,8.7,9.2,8.7,9.16,261000,9.16
2024-11-25,9.288,9.46,8.93,9.3,343900,9.3
2024-11-26,9.3,9.48,9.12,9.32,455600,9.32
2024-11-27,9.31,9.64,9.21,9.59,234200,9.59
2024-11-29,9.63,9.87,9.35,9.77,166000,9.77
2024-12-02,9.85,9.85,9.5,9.68,238500,9.68
2024-12-03,9.69,9.87,9.52,9.85,319900,9.85
2024-12-04,9.85,9.95,9.6,9.84,369000,9.84
2024-12-05,9.85,9.98,9.61,9.65,255600,9.65
2024-12-06,9.67,9.77,9.1,9.17,384600,9.17
2024-12-09,9.26,9.417,8.82,9.14,489700,9.14
2024-12-10,9.24,9.93,8.94,9.58,602200,9.58
2024-12-11,9.33,9.73,9.18,9.46,361600,9.46
2024-12-12,9.5,9.97,9.33,9.49,424600,9.49
2024-12-13,9.54,9.59,9.15,9.47,347200,9.47
2024-12-16,9.6,9.83,9.37,9.7,889000,9.7
2024-12-17,8.24,9.014,8.02,8.25,1344000,8.25
2024-12-18,8.22,8.25,7.76,7.765,754500,7.765
2024-12-19,7.77,7.8,7.21,7.5,803700,7.5
2024-12-20,7.36,7.5,7.28,7.45,709400,7.45
2024-12-23,7.37,7.625,7.19,7.6,376400,7.6
2024-12-24,7.63,7.74,7.518,7.56,135700,7.56
2024-12-26,7.58,7.92,7.42,7.9,205500,7.9
2024-12-27,7.9,7.94,7.616,7.74,367300,7.74
2024-12-30,7.67,7.94,7.55,7.92,321000,7.92
2024-12-31,8.0,8.045,7.86,7.96,315400,7.96
2025-01-02,8.01,8.2,7.57,7.67,330100,7.67
2025-01-03,7.73,7.9,7.59,7.77,224600,7.77
2025-01-06,7.79,7.9,7.285,7.3,493900,7.3
2025-01-07,7.29,7.39,6.77,7.11,883200,7.11
